date,CTA_rate,CTA策略,S_CTA_rate,股指CTA策略,S_rate,股票策略,SF_rate,指数增强策略,MM_rate,市场中性策略
2017/12/29,-0.0013 ,1.0000 ,-0.0012 ,1.0000 ,0.0208 ,1.0000 ,0.0317 ,1.0000 ,0.0030 ,1.0000 
2018/1/5,-0.0006 ,0.9987 ,-0.0061 ,0.9988 ,0.0130 ,1.0208 ,0.0038 ,1.0317 ,0.0006 ,1.0030 
2018/1/12,-0.0011 ,0.9981 ,-0.0124 ,0.9926 ,-0.0086 ,1.0341 ,-0.0082 ,1.0357 ,0.0010 ,1.0036 
2018/1/19,0.0085 ,0.9970 ,0.0024 ,0.9803 ,0.0189 ,1.0252 ,0.0222 ,1.0272 ,-0.0002 ,1.0046 
2018/1/26,0.0126 ,1.0054 ,0.0099 ,0.9827 ,-0.0202 ,1.0446 ,-0.0405 ,1.0499 ,0.0055 ,1.0044 
2018/2/2,0.0084 ,1.0181 ,-0.0039 ,0.9924 ,-0.0731 ,1.0235 ,-0.0676 ,1.0074 ,-0.0045 ,1.0099 
2018/2/9,-0.0003 ,1.0266 ,0.0300 ,0.9885 ,0.0336 ,0.9486 ,0.0448 ,0.9392 ,0.0102 ,1.0054 
2018/2/14,-0.0084 ,1.0263 ,0.0123 ,1.0181 ,0.0215 ,0.9805 ,0.0350 ,0.9813 ,0.0076 ,1.0157 
2018/2/23,0.0123 ,1.0177 ,0.0124 ,1.0306 ,0.0012 ,1.0016 ,0.0434 ,1.0157 ,0.0075 ,1.0234 
2018/3/2,0.0043 ,1.0302 ,0.0145 ,1.0434 ,0.0136 ,1.0029 ,0.0296 ,1.0598 ,0.0054 ,1.0310 
2018/3/9,-0.0035 ,1.0346 ,0.0061 ,1.0585 ,-0.0042 ,1.0165 ,-0.0029 ,1.0911 ,0.0025 ,1.0366 
2018/3/16,0.0282 ,1.0310 ,0.0051 ,1.0649 ,-0.0263 ,1.0123 ,-0.0382 ,1.0879 ,0.0022 ,1.0392 
2018/3/23,0.0102 ,1.0600 ,0.0318 ,1.0703 ,0.0160 ,0.9857 ,0.0488 ,1.0463 ,0.0134 ,1.0415 
2018/3/30,-0.0018 ,1.0708 ,-0.0003 ,1.1043 ,-0.0072 ,1.0015 ,-0.0041 ,1.0974 ,0.0018 ,1.0555 
2018/4/4,0.0004 ,1.0689 ,0.0012 ,1.1040 ,0.0011 ,0.9942 ,-0.0007 ,1.0928 ,0.0025 ,1.0574 
2018/4/13,0.0078 ,1.0693 ,0.0026 ,1.1052 ,-0.0161 ,0.9954 ,-0.0192 ,1.0921 ,-0.0015 ,1.0600 
2018/4/20,0.0030 ,1.0777 ,0.0088 ,1.1081 ,0.0033 ,0.9794 ,-0.0008 ,1.0711 ,0.0022 ,1.0584 
2018/4/27,0.0036 ,1.0809 ,0.0005 ,1.1179 ,0.0108 ,0.9826 ,0.0193 ,1.0703 ,0.0033 ,1.0608 
2018/5/4,0.0009 ,1.0848 ,0.0042 ,1.1185 ,0.0173 ,0.9933 ,0.0236 ,1.0909 ,0.0058 ,1.0643 
2018/5/11,0.0150 ,1.0858 ,-0.0023 ,1.1232 ,0.0092 ,1.0104 ,0.0077 ,1.1167 ,0.0044 ,1.0704 
2018/5/18,-0.0010 ,1.1020 ,-0.0033 ,1.1206 ,-0.0035 ,1.0197 ,-0.0063 ,1.1253 ,-0.0013 ,1.0751 
2018/5/25,0.0114 ,1.1010 ,0.0023 ,1.1169 ,-0.0063 ,1.0162 ,-0.0280 ,1.1181 ,-0.0013 ,1.0737 
2018/6/1,0.0016 ,1.1136 ,0.0078 ,1.1195 ,0.0084 ,1.0098 ,0.0084 ,1.0868 ,0.0043 ,1.0724 
2018/6/8,0.0180 ,1.1154 ,0.0023 ,1.1282 ,-0.0154 ,1.0182 ,-0.0302 ,1.0960 ,-0.0068 ,1.0770 
2018/6/15,0.0012 ,1.1354 ,0.0221 ,1.1308 ,-0.0253 ,1.0026 ,-0.0393 ,1.0628 ,0.0037 ,1.0696 
2018/6/22,-0.0009 ,1.1368 ,-0.0034 ,1.1558 ,-0.0126 ,0.9772 ,0.0290 ,1.0211 ,0.0077 ,1.0736 
2018/6/29,0.0006 ,1.1358 ,0.0067 ,1.1519 ,-0.0342 ,0.9649 ,-0.0425 ,1.0507 ,0.0001 ,1.0818 
2018/7/6,0.0104 ,1.1365 ,0.0315 ,1.1596 ,0.0396 ,0.9319 ,0.0475 ,1.0061 ,0.0091 ,1.0820 
2018/7/13,-0.0039 ,1.1483 ,0.0043 ,1.1962 ,-0.0073 ,0.9688 ,-0.0014 ,1.0538 ,-0.0039 ,1.0919 
2018/7/20,0.0090 ,1.1439 ,-0.0007 ,1.2013 ,-0.0005 ,0.9617 ,0.0139 ,1.0523 ,0.0010 ,1.0876 
2018/7/27,0.0261 ,1.1541 ,0.0370 ,1.2006 ,-0.0369 ,0.9612 ,-0.0661 ,1.0669 ,-0.0064 ,1.0887 
2018/8/3,0.0061 ,1.1843 ,-0.0060 ,1.2450 ,0.0038 ,0.9258 ,0.0217 ,0.9964 ,0.0026 ,1.0817 
2018/8/10,0.0211 ,1.1915 ,-0.0017 ,1.2375 ,-0.0341 ,0.9293 ,-0.0362 ,1.0180 ,-0.0034 ,1.0845 
2018/8/17,-0.0091 ,1.2167 ,-0.0062 ,1.2354 ,0.0136 ,0.8976 ,0.0132 ,0.9811 ,0.0070 ,1.0808 
2018/8/24,0.0040 ,1.2057 ,0.0027 ,1.2278 ,0.0009 ,0.9098 ,-0.0047 ,0.9941 ,0.0005 ,1.0883 
2018/8/31,-0.0045 ,1.2105 ,-0.0051 ,1.2311 ,-0.0128 ,0.9107 ,-0.0052 ,0.9895 ,0.0012 ,1.0889 
2018/9/7,-0.0122 ,1.2050 ,-0.0150 ,1.2248 ,-0.0151 ,0.8991 ,-0.0194 ,0.9844 ,-0.0015 ,1.0902 
2018/9/14,0.0039 ,1.1903 ,0.0426 ,1.2064 ,0.0255 ,0.8855 ,0.0359 ,0.9652 ,0.0020 ,1.0886 
2018/9/21,0.0073 ,1.1949 ,-0.0094 ,1.2578 ,0.0063 ,0.9081 ,0.0010 ,0.9999 ,0.0005 ,1.0908 
2018/9/28,0.0187 ,1.2037 ,0.0055 ,1.2459 ,-0.0465 ,0.9138 ,-0.0856 ,1.0009 ,0.0068 ,1.0914 
2018/10/12,-0.0003 ,1.2262 ,0.0171 ,1.2527 ,-0.0091 ,0.8713 ,-0.0264 ,0.9152 ,0.0027 ,1.0988 
2018/10/19,0.0090 ,1.2258 ,0.0234 ,1.2742 ,0.0037 ,0.8634 ,0.0265 ,0.8910 ,0.0058 ,1.1018 
2018/10/26,-0.0009 ,1.2368 ,0.0030 ,1.3040 ,0.0334 ,0.8666 ,0.0555 ,0.9146 ,0.0055 ,1.1081 
2018/11/2,0.0011 ,1.2357 ,-0.0098 ,1.3080 ,-0.0173 ,0.8955 ,-0.0028 ,0.9654 ,0.0051 ,1.1142 
2018/11/9,0.0086 ,1.2371 ,0.0095 ,1.2952 ,0.0228 ,0.8800 ,0.0694 ,0.9627 ,0.0047 ,1.1199 
2018/11/16,0.0060 ,1.2477 ,0.0040 ,1.3075 ,-0.0277 ,0.9001 ,-0.0428 ,1.0294 ,0.0053 ,1.1252 
2018/11/23,0.0062 ,1.2552 ,0.0267 ,1.3128 ,0.0086 ,0.8751 ,0.0003 ,0.9854 ,0.0020 ,1.1312 
2018/11/30,0.0057 ,1.2629 ,0.0050 ,1.3478 ,0.0018 ,0.8826 ,0.0137 ,0.9857 ,0.0037 ,1.1335 
2018/12/7,-0.0009 ,1.2701 ,0.0047 ,1.3546 ,-0.0020 ,0.8842 ,-0.0155 ,0.9991 ,-0.0036 ,1.1377 
2018/12/14,0.0016 ,1.2690 ,-0.0049 ,1.3610 ,-0.0288 ,0.8825 ,-0.0268 ,0.9837 ,-0.0009 ,1.1336 
2018/12/21,0.0027 ,1.2710 ,-0.0095 ,1.3544 ,-0.0025 ,0.8570 ,-0.0115 ,0.9573 ,0.0015 ,1.1326 
2018/12/28,-0.0003 ,1.2744 ,-0.0016 ,1.3416 ,-0.0040 ,0.8549 ,0.0076 ,0.9463 ,0.0010 ,1.1343 
